id;name;dob;affiliation
8535;P__Garro;1953-01-01;University of Kentucky
9866;G__García;1987-03-27;University of Arkansas
7204;S__Matsuyama;1989-12-05;University of Illinois
8532;J__Sirvent;1951-02-21;University of Nebraska-Lincoln
9863;Eva_Velasco_Olarte;1999-04-06;Oklahoma State University
7203;K__Kimura;2001-01-14;University of Guelph
8533;Melcior_Martínez;1962-10-22;Michigan State University
9864;Judith_Villahoz_Martínez;1955-08-07;China Agricultural University
8527;J__Masclans;1975-07-29;Slovak University of Technology in Bratislava
9858;A__Romero;1968-09-17;Kyoto University
8528;E__Sandoval;1972-12-12;Oklahoma State University
9859;Jesús_Tercero_López;1950-07-27;Wuhan University
8525;R__Ferrer;1956-08-12;Wuhan University
9856;G__Pérez;1966-02-10;University of Wisconsin-Madiso
8526;R__Máňez;1979-10-18;Colorado State University
9857;J__Pérez;1979-10-09;University of Copenhagen
8529;P__Vera;1994-03-01;Colorado State University
8541;A__Baró;1965-06-11;Oklahoma State University
9872;Tatiana_Sarmiento_Trujillo;1969-05-09;University of Guelph
8542;F__Bodí;1960-12-11;University of Illinois
9873;Noemí_García_Medina;1953-10-20;University of Guelph
7211;Pengju_Chen;1993-12-25;University of Nebraska-Lincoln
9870;Patricia_Lloreda_Herradon;1953-02-06;Chinese Academy of Sciences
7210;Wangao_Zhang;1990-10-13;Stanford University
8540;I__Vallverdú;1999-02-02;University of Illinois
9871;C__Gómez;1993-05-12;China Agricultural University
7213;Yikun_Ding;1958-04-22;Kansas State University
8545;F__Roche_Campo;1967-12-15;Kyoto University
9876;N__Rivero;1995-06-17;University of Wisconsin-Madiso
7212;H__Zong;1984-10-06;University of Illinois
8546;A__Huerta;1960-06-01;Beijing Normal University
9877;J__Gil;1957-03-31;Kansas State University
7215;Yang_Pan;1973-01-15;University of Arkansas
8543;P__Saludes;2001-07-04;Beijing Normal University
9874;Mariano_García;1998-10-13;University of Arkansas
7214;Ruhu_Yan;1982-10-15;Oklahoma State University
8544;M__Valencia;1999-04-26;Kyoto University
9875;Carles_Espinós_Ramírez;1948-07-08;University of Wisconsin-Madiso
7206;U__Höpken;1984-04-14;Kyoto University
8538;Joan_Carles_Yébenes_Reyes;1999-08-22;Stanford University
9869;Marta_Vicente_Orgaz;2000-06-09;University of Nebraska-Lincoln
7205;Lutz_Menzel;2000-08-12;University of Copenhagen
8539;Carles_Triginer;1977-01-22;Chinese Academy of Sciences
7208;Steffen_K_Meurer;1993-01-17;Kyoto University
8536;J__L__Lopera;1989-08-07;University of Copenhagen
9867;Cristina_Vogel_de_Medeiros;1947-03-15;Oklahoma State University
7207;A__Rehm;1976-08-31;Chinese Academy of Sciences
8537;M__Bodí;1947-03-22;University of Kentucky
9868;S__Ovejero;1979-01-21;University of Nebraska-Lincoln
7209;R__Weiskirchen;1965-12-22;University of Arkansas
7220;Toshiro_Saito;2001-03-29;Slovak University of Technology in Bratislava
8552;R__Ferrer;1957-02-12;Slovak University of Technology in Bratislava
9883;Albert_Bainac;1961-03-26;University of Nebraska-Lincoln
8553;O__Roca;1974-01-20;Oklahoma State University
9884;A__Arias;2000-02-03;University of Wisconsin-Madiso
7222;R__Suzuki;1986-05-16;University of Wisconsin-Madiso
8550;Ó__Peñuelas;2001-09-26;Slovak University of Technology in Bratislava
9881;P__Paniagua;1957-12-03;Beijing Normal University
7221;H__Kurazumi;1968-08-01;Stanford University
8551;J__Mancebo;1947-10-16;Beijing Normal University
9882;Sergio_Pérez;1974-07-02;University of Arkansas
7224;A__Mikamo;1986-09-30;University of Copenhagen
8556;E__Papiol;1971-11-11;Wuhan University
9887;P__Monedero;2000-09-06;Beijing Normal University
7223;Yutaro_Matsuno;1996-02-07;Wuhan University
8557;V__D__Gumicio;1967-04-09;University of Nebraska-Lincoln
9888;C__Cara;1971-06-17;Kansas State University
7226;S__Mbagwu;1954-12-06;University of Arkansas
8554;X__Nuvials;1947-10-28;Oklahoma State University
9885;E__Ramil;1980-07-06;University of Arkansas
7225;K__Hamano;1992-09-12;University of Nebraska-Lincoln
8555;J__Ruiz;1969-11-04;University of Guelph
9886;J__Escudero;1953-07-15;Kansas State University
9880;J__Galán;1999-11-20;University of Arkansas
7217;Hong_Yan;1993-12-10;Slovak University of Technology in Bratislava
8549;J__Echevarría;1967-10-17;Stanford University
7216;Quanyi_Li;1959-10-03;Michigan State University
7219;Zhi_Wang;1998-09-02;University of Nebraska-Lincoln
8547;F__Cambra;1991-08-29;University of Illinois
9878;Sonsoles_Martín;1983-04-26;University of Guelph
7218;Jin_Huang;1958-10-16;University of Copenhagen
8548;C__Barberà;1972-02-13;University of Copenhagen
9879;M__Moral;1953-09-07;Stanford University
7231;Shuyun_Liu;1972-08-31;Oklahoma State University
8563;R__Muñoz_Bermúdez;1991-07-19;Colorado State University
9894;Pablo_Montero_López;1967-01-24;China Agricultural University
7230;Yijie_Zhou;2001-08-27;University of Wisconsin-Madiso
8564;F__Parrilla;1967-04-08;Chinese Academy of Sciences
9895;A__Gea;1970-07-10;Wuhan University
7233;Chengshi_Wang;1949-11-18;Kansas State University
8561;J__Osorio;1971-11-14;Kyoto University
9892;Íñigo_Rubio_Baines;1962-07-25;University of Wisconsin-Madiso
7232;Meng_Zhao;1996-08-06;Wuhan University
8562;J__Masclans;1959-02-09;Chinese Academy of Sciences
9893;C__Trull;1975-06-20;University of Kentucky
7235;Yujia_Yuan;1975-09-08;Stanford University
8567;A__Mas;1996-04-28;University of Illinois
9898;J__Pitarch;2002-11-16;Michigan State University
7234;Lingzhi_Li;1995-02-04;Slovak University of Technology in Bratislava
8568;B__Cancio;1953-04-11;Kansas State University
9899;Fernando_Rauer_Alcóver;1974-02-19;University of Arkansas
7237;Guangneng_Liao;1997-04-12;Oklahoma State University
8565;P__Pérez_Terán;1970-02-17;University of Nebraska-Lincoln
9896;A__Montero;1979-12-24;Beijing Normal University
7236;Lan_Li;1947-10-08;Kyoto University
8566;J__Marin_Corral;1955-02-24;University of Wisconsin-Madiso
9897;R__Ibáñez;1952-03-04;Kyoto University
9890;E__Martínez;1949-06-20;Michigan State University
8560;P__Castro;1973-06-15;University of Guelph
9891;Jorge_Mendoza;1953-12-13;University of Kentucky
7228;S__Aleksandrić;1952-08-29;Stanford University
7227;L__Filgueira;1966-09-23;Slovak University of Technology in Bratislava
8558;G__Muñoz;1954-08-27;University of Guelph
9889;A__Lara;1968-09-11;University of Nebraska-Lincoln
7229;Milica_Labudovic;1970-09-14;University of Kentucky
8559;D__Toapanta;1988-01-19;University of Copenhagen
7242;Yanrong_Lu;1986-03-01;University of Illinois
8574;X__Saiz;1978-02-08;Beijing Normal University
7241;Jingqiu_Cheng;1952-03-02;University of Illinois
8575;Miguel_Ángel_Martínez;1988-11-30;University of Nebraska-Lincoln
7244;M__Franzoni;1949-05-10;Slovak University of Technology in Bratislava
8572;J__M__Sirvent;1975-01-12;Stanford University
7243;Jingping_Liu;1950-05-01;Oklahoma State University
8573;P__Sebastian;1968-11-02;Wuhan University
7246;L__Marcar;1998-03-29;Kansas State University
8578;A__Rodríguez;1965-01-26;Chinese Academy of Sciences
7245;D__OConnor;1967-11-08;Beijing Normal University
8579;G__Moreno;1981-09-02;Slovak University of Technology in Bratislava
7248;M__Moloney;1982-07-22;Stanford University
8576;C__Pedrós;1959-12-01;University of Nebraska-Lincoln
7247;D__Power;1955-02-03;Beijing Normal University
8577;E__Vendrell;1974-06-11;Stanford University
8570;M__R__Koborzan;1999-08-18;Wuhan University
8571;C__A__Briones;1951-09-20;Kyoto University
7240;Younan_Chen;1994-03-06;China Agricultural University
7239;Jie_Zhang;1964-10-09;University of Guelph
7238;William_Bresette;1974-07-10;Oklahoma State University
8569;S__Hernandez_Marin;1980-12-04;University of Guelph
7253;M__Walsh;1986-07-29;University of Illinois
8585;Jordi_Cervelló;1968-04-30;Wuhan University
7252;P__A__Kiely;1949-11-02;University of Wisconsin-Madiso
8586;M__Valencia;1987-08-01;Slovak University of Technology in Bratislava
7255;J__Strutz;1993-11-21;University of Wisconsin-Madiso
8583;M__Morales;1983-09-29;University of Kentucky
7254;Barbara_Leopold;1956-04-05;Oklahoma State University
8584;P__Saludes;1994-04-14;Beijing Normal University
7257;Juergen_Gindlhuber;1964-04-26;University of Wisconsin-Madiso
8589;P__Santigosa;2000-09-07;Colorado State University
7256;Elisa_Weiss;1958-02-05;Kyoto University
7259;H__Hackl;1951-04-05;Oklahoma State University
8587;D__Franch_Llasat;1989-06-08;University of Kentucky
7258;R__Birner‐Gruenberger;1999-04-29;Wuhan University
8588;A__Huerta;1976-06-02;Kyoto University
8581;C__Triginer;1963-12-31;Wuhan University
8582;A__Baro;1999-09-01;University of Arkansas
7251;J__Nolan;1991-05-09;University of Arkansas
7250;R__Leask;1962-09-06;University of Nebraska-Lincoln
8580;J__C__Yébenes_Reyes;1989-11-04;Oklahoma State University
7249;E__Kavanagh;1975-04-20;Slovak University of Technology in Bratislava
7264;E__Andreuzzi;1947-07-22;University of Wisconsin-Madiso
8596;A__Betbesé;1948-12-09;Michigan State University
7263;A__Capuano;1962-12-31;Stanford University
8597;M__Izura;1977-01-26;China Agricultural University
7266;R__Doliana;1959-03-15;Stanford University
8594;Janine_A_Santos;1989-10-23;University of Guelph
7265;E__Pivetta;1968-04-19;Oklahoma State University
8595;J__Baldirà;1984-11-13;Wuhan University
7268;V__Canzonieri;1990-02-03;Colorado State University
7267;A__Favero;1983-09-20;Beijing Normal University
8598;I__Morán;1954-02-12;China Agricultural University
7269;S__Maiero;1959-09-13;University of Arkansas
8599;J__Suárez;1994-07-08;Chinese Academy of Sciences
7260;Hannah_M_Appel;1987-09-11;Michigan State University
8592;J__Echevarria;1982-12-20;Stanford University
8593;J__Mancebo;1979-10-10;Chinese Academy of Sciences
7262;U__Hiden;1979-03-07;University of Copenhagen
8590;F__Cambra;1951-09-25;Kyoto University
7261;S__Cvitic;1961-12-13;Stanford University
8591;S__Benito;1956-04-18;Colorado State University
7275;Adeleh_Poursaleh;1954-10-13;University of Guelph
7274;P__Spessotto;1953-11-28;Michigan State University
7277;F__Sadegh_Beigee;1987-03-21;China Agricultural University
7276;G__Esfandiari;1953-11-23;University of Illinois
7279;M__Najafi;1979-04-05;University of Nebraska-Lincoln
7278;Nahal_Eshghifar;1997-09-22;University of Guelph
7271;R__Magris;1972-12-21;University of Arkansas
7270;M__Fornasarig;1973-01-20;University of Wisconsin-Madiso
7273;M__Mongiat;1962-05-28;Stanford University
7272;R__Cannizzaro;1949-07-18;Slovak University of Technology in Bratislava
7286;C__Danciu;1991-06-08;University of Nebraska-Lincoln
7285;D__Coricovac;1982-11-10;University of Guelph
7288;A__Chevereșan;1953-11-24;University of Kentucky
7287;I__Ledeți;1980-09-02;Chinese Academy of Sciences
7289;Cristian_Nica;1982-11-30;Beijing Normal University
7280;V__Buda;1990-12-25;Michigan State University
7282;D__Bâibâță;1977-01-28;University of Guelph
